Date,Department,Dept_Date_Key,Total_Beds,Occupied_Beds,Occupancy_Rate
2024-02-22,Emergency,Emergency_2024-02-22,60,43,0.717
2024-02-23,Emergency,Emergency_2024-02-23,60,56,0.933
2024-02-24,Emergency,Emergency_2024-02-24,60,48,0.8
2024-02-25,Emergency,Emergency_2024-02-25,60,45,0.75
2024-02-26,Emergency,Emergency_2024-02-26,60,49,0.817
2024-02-27,Emergency,Emergency_2024-02-27,60,48,0.8
2024-02-28,Emergency,Emergency_2024-02-28,60,47,0.783
2024-02-29,Emergency,Emergency_2024-02-29,60,49,0.817
2024-03-01,Emergency,Emergency_2024-03-01,60,47,0.783
2024-03-02,Emergency,Emergency_2024-03-02,60,48,0.8
2024-03-03,Emergency,Emergency_2024-03-03,60,46,0.767
2024-03-04,Emergency,Emergency_2024-03-04,60,45,0.75
2024-03-05,Emergency,Emergency_2024-03-05,60,48,0.8
2024-03-06,Emergency,Emergency_2024-03-06,60,48,0.8
2024-03-07,Emergency,Emergency_2024-03-07,60,48,0.8
2024-03-08,Emergency,Emergency_2024-03-08,60,49,0.817
2024-03-09,Emergency,Emergency_2024-03-09,60,46,0.767
2024-03-10,Emergency,Emergency_2024-03-10,60,47,0.783
2024-03-11,Emergency,Emergency_2024-03-11,60,49,0.817
2024-03-12,Emergency,Emergency_2024-03-12,60,49,0.817
2024-03-13,Emergency,Emergency_2024-03-13,60,50,0.833
2024-03-14,Emergency,Emergency_2024-03-14,60,44,0.733
2024-03-15,Emergency,Emergency_2024-03-15,60,47,0.783
2024-03-16,Emergency,Emergency_2024-03-16,60,52,0.867
2024-03-17,Emergency,Emergency_2024-03-17,60,52,0.867
2024-03-18,Emergency,Emergency_2024-03-18,60,47,0.783
2024-03-19,Emergency,Emergency_2024-03-19,60,48,0.8
2024-03-20,Emergency,Emergency_2024-03-20,60,43,0.717
2024-03-21,Emergency,Emergency_2024-03-21,60,47,0.783
2024-03-22,Emergency,Emergency_2024-03-22,60,47,0.783
2024-03-23,Emergency,Emergency_2024-03-23,60,44,0.733
2024-03-24,Emergency,Emergency_2024-03-24,60,50,0.833
2024-03-25,Emergency,Emergency_2024-03-25,60,45,0.75
2024-03-26,Emergency,Emergency_2024-03-26,60,48,0.8
2024-03-27,Emergency,Emergency_2024-03-27,60,44,0.733
2024-03-28,Emergency,Emergency_2024-03-28,60,51,0.85
2024-03-29,Emergency,Emergency_2024-03-29,60,47,0.783
2024-03-30,Emergency,Emergency_2024-03-30,60,45,0.75
2024-03-31,Emergency,Emergency_2024-03-31,60,46,0.767
2024-04-01,Emergency,Emergency_2024-04-01,60,55,0.917
2024-04-02,Emergency,Emergency_2024-04-02,60,50,0.833
2024-04-03,Emergency,Emergency_2024-04-03,60,44,0.733
2024-04-04,Emergency,Emergency_2024-04-04,60,45,0.75
2024-04-05,Emergency,Emergency_2024-04-05,60,48,0.8
2024-04-06,Emergency,Emergency_2024-04-06,60,46,0.767
2024-04-07,Emergency,Emergency_2024-04-07,60,44,0.733
2024-04-08,Emergency,Emergency_2024-04-08,60,48,0.8
2024-04-09,Emergency,Emergency_2024-04-09,60,43,0.717
2024-04-10,Emergency,Emergency_2024-04-10,60,44,0.733
2024-04-11,Emergency,Emergency_2024-04-11,60,41,0.683
2024-04-12,Emergency,Emergency_2024-04-12,60,44,0.733
2024-04-13,Emergency,Emergency_2024-04-13,60,44,0.733
2024-04-14,Emergency,Emergency_2024-04-14,60,49,0.817
2024-04-15,Emergency,Emergency_2024-04-15,60,44,0.733
2024-04-16,Emergency,Emergency_2024-04-16,60,49,0.817
2024-04-17,Emergency,Emergency_2024-04-17,60,46,0.767
2024-04-18,Emergency,Emergency_2024-04-18,60,41,0.683
2024-04-19,Emergency,Emergency_2024-04-19,60,46,0.767
2024-04-20,Emergency,Emergency_2024-04-20,60,49,0.817
2024-04-21,Emergency,Emergency_2024-04-21,60,49,0.817
2024-04-22,Emergency,Emergency_2024-04-22,60,41,0.683
2024-04-23,Emergency,Emergency_2024-04-23,60,45,0.75
2024-04-24,Emergency,Emergency_2024-04-24,60,47,0.783
2024-04-25,Emergency,Emergency_2024-04-25,60,48,0.8
2024-04-26,Emergency,Emergency_2024-04-26,60,52,0.867
2024-04-27,Emergency,Emergency_2024-04-27,60,49,0.817
2024-04-28,Emergency,Emergency_2024-04-28,60,47,0.783
2024-04-29,Emergency,Emergency_2024-04-29,60,50,0.833
2024-04-30,Emergency,Emergency_2024-04-30,60,47,0.783
2024-05-01,Emergency,Emergency_2024-05-01,60,48,0.8
2024-05-02,Emergency,Emergency_2024-05-02,60,47,0.783
2024-05-03,Emergency,Emergency_2024-05-03,60,45,0.75
2024-05-04,Emergency,Emergency_2024-05-04,60,47,0.783
2024-05-05,Emergency,Emergency_2024-05-05,60,48,0.8
2024-05-06,Emergency,Emergency_2024-05-06,60,49,0.817
2024-05-07,Emergency,Emergency_2024-05-07,60,50,0.833
2024-05-08,Emergency,Emergency_2024-05-08,60,46,0.767
2024-05-09,Emergency,Emergency_2024-05-09,60,48,0.8
2024-05-10,Emergency,Emergency_2024-05-10,60,49,0.817
2024-05-11,Emergency,Emergency_2024-05-11,60,49,0.817
2024-05-12,Emergency,Emergency_2024-05-12,60,45,0.75
2024-05-13,Emergency,Emergency_2024-05-13,60,46,0.767
2024-05-14,Emergency,Emergency_2024-05-14,60,47,0.783
2024-05-15,Emergency,Emergency_2024-05-15,60,46,0.767
2024-05-16,Emergency,Emergency_2024-05-16,60,42,0.7
2024-05-17,Emergency,Emergency_2024-05-17,60,44,0.733
2024-05-18,Emergency,Emergency_2024-05-18,60,49,0.817
2024-05-19,Emergency,Emergency_2024-05-19,60,44,0.733
2024-05-20,Emergency,Emergency_2024-05-20,60,43,0.717
2024-05-21,Emergency,Emergency_2024-05-21,60,47,0.783
2024-05-22,Emergency,Emergency_2024-05-22,60,46,0.767
2024-05-23,Emergency,Emergency_2024-05-23,60,51,0.85
2024-05-24,Emergency,Emergency_2024-05-24,60,48,0.8
2024-05-25,Emergency,Emergency_2024-05-25,60,46,0.767
2024-05-26,Emergency,Emergency_2024-05-26,60,48,0.8
2024-05-27,Emergency,Emergency_2024-05-27,60,45,0.75
2024-05-28,Emergency,Emergency_2024-05-28,60,54,0.9
2024-05-29,Emergency,Emergency_2024-05-29,60,46,0.767
2024-05-30,Emergency,Emergency_2024-05-30,60,42,0.7
2024-05-31,Emergency,Emergency_2024-05-31,60,47,0.783
2024-06-01,Emergency,Emergency_2024-06-01,60,44,0.733
2024-06-02,Emergency,Emergency_2024-06-02,60,46,0.767
2024-06-03,Emergency,Emergency_2024-06-03,60,45,0.75
2024-06-04,Emergency,Emergency_2024-06-04,60,48,0.8
2024-06-05,Emergency,Emergency_2024-06-05,60,46,0.767
2024-06-06,Emergency,Emergency_2024-06-06,60,51,0.85
2024-06-07,Emergency,Emergency_2024-06-07,60,49,0.817
2024-06-08,Emergency,Emergency_2024-06-08,60,44,0.733
2024-06-09,Emergency,Emergency_2024-06-09,60,45,0.75
2024-06-10,Emergency,Emergency_2024-06-10,60,43,0.717
2024-06-11,Emergency,Emergency_2024-06-11,60,45,0.75
2024-06-12,Emergency,Emergency_2024-06-12,60,46,0.767
2024-06-13,Emergency,Emergency_2024-06-13,60,51,0.85
2024-06-14,Emergency,Emergency_2024-06-14,60,48,0.8
2024-06-15,Emergency,Emergency_2024-06-15,60,48,0.8
2024-06-16,Emergency,Emergency_2024-06-16,60,45,0.75
2024-06-17,Emergency,Emergency_2024-06-17,60,51,0.85
2024-06-18,Emergency,Emergency_2024-06-18,60,48,0.8
2024-06-19,Emergency,Emergency_2024-06-19,60,47,0.783
2024-06-20,Emergency,Emergency_2024-06-20,60,44,0.733
2024-06-21,Emergency,Emergency_2024-06-21,60,48,0.8
2024-06-22,Emergency,Emergency_2024-06-22,60,45,0.75
2024-06-23,Emergency,Emergency_2024-06-23,60,52,0.867
2024-06-24,Emergency,Emergency_2024-06-24,60,48,0.8
2024-06-25,Emergency,Emergency_2024-06-25,60,45,0.75
2024-06-26,Emergency,Emergency_2024-06-26,60,43,0.717
2024-06-27,Emergency,Emergency_2024-06-27,60,44,0.733
2024-06-28,Emergency,Emergency_2024-06-28,60,50,0.833
2024-06-29,Emergency,Emergency_2024-06-29,60,44,0.733
2024-06-30,Emergency,Emergency_2024-06-30,60,43,0.717
2024-07-01,Emergency,Emergency_2024-07-01,60,49,0.817
2024-07-02,Emergency,Emergency_2024-07-02,60,48,0.8
2024-07-03,Emergency,Emergency_2024-07-03,60,47,0.783
2024-07-04,Emergency,Emergency_2024-07-04,60,52,0.867
2024-07-05,Emergency,Emergency_2024-07-05,60,45,0.75
2024-07-06,Emergency,Emergency_2024-07-06,60,49,0.817
2024-07-07,Emergency,Emergency_2024-07-07,60,45,0.75
2024-07-08,Emergency,Emergency_2024-07-08,60,45,0.75
2024-07-09,Emergency,Emergency_2024-07-09,60,48,0.8
2024-07-10,Emergency,Emergency_2024-07-10,60,49,0.817
2024-07-11,Emergency,Emergency_2024-07-11,60,51,0.85
2024-07-12,Emergency,Emergency_2024-07-12,60,48,0.8
2024-07-13,Emergency,Emergency_2024-07-13,60,54,0.9
2024-07-14,Emergency,Emergency_2024-07-14,60,48,0.8
2024-07-15,Emergency,Emergency_2024-07-15,60,46,0.767
2024-07-16,Emergency,Emergency_2024-07-16,60,45,0.75
2024-07-17,Emergency,Emergency_2024-07-17,60,46,0.767
2024-07-18,Emergency,Emergency_2024-07-18,60,45,0.75
2024-07-19,Emergency,Emergency_2024-07-19,60,46,0.767
2024-07-20,Emergency,Emergency_2024-07-20,60,52,0.867
2024-07-21,Emergency,Emergency_2024-07-21,60,52,0.867
2024-07-22,Emergency,Emergency_2024-07-22,60,43,0.717
2024-07-23,Emergency,Emergency_2024-07-23,60,42,0.7
2024-07-24,Emergency,Emergency_2024-07-24,60,45,0.75
2024-07-25,Emergency,Emergency_2024-07-25,60,48,0.8
2024-07-26,Emergency,Emergency_2024-07-26,60,45,0.75
2024-07-27,Emergency,Emergency_2024-07-27,60,44,0.733
2024-07-28,Emergency,Emergency_2024-07-28,60,45,0.75
2024-07-29,Emergency,Emergency_2024-07-29,60,45,0.75
2024-07-30,Emergency,Emergency_2024-07-30,60,49,0.817
2024-07-31,Emergency,Emergency_2024-07-31,60,47,0.783
2024-08-01,Emergency,Emergency_2024-08-01,60,50,0.833
2024-08-02,Emergency,Emergency_2024-08-02,60,46,0.767
2024-08-03,Emergency,Emergency_2024-08-03,60,44,0.733
2024-08-04,Emergency,Emergency_2024-08-04,60,49,0.817
2024-08-05,Emergency,Emergency_2024-08-05,60,51,0.85
2024-08-06,Emergency,Emergency_2024-08-06,60,45,0.75
2024-08-07,Emergency,Emergency_2024-08-07,60,50,0.833
2024-08-08,Emergency,Emergency_2024-08-08,60,51,0.85
2024-08-09,Emergency,Emergency_2024-08-09,60,46,0.767
2024-08-10,Emergency,Emergency_2024-08-10,60,51,0.85
2024-08-11,Emergency,Emergency_2024-08-11,60,47,0.783
2024-08-12,Emergency,Emergency_2024-08-12,60,47,0.783
2024-08-13,Emergency,Emergency_2024-08-13,60,47,0.783
2024-08-14,Emergency,Emergency_2024-08-14,60,47,0.783
2024-08-15,Emergency,Emergency_2024-08-15,60,48,0.8
2024-08-16,Emergency,Emergency_2024-08-16,60,46,0.767
2024-08-17,Emergency,Emergency_2024-08-17,60,45,0.75
2024-08-18,Emergency,Emergency_2024-08-18,60,44,0.733
2024-08-19,Emergency,Emergency_2024-08-19,60,48,0.8
2024-08-20,Emergency,Emergency_2024-08-20,60,46,0.767
2024-08-21,Emergency,Emergency_2024-08-21,60,48,0.8
2024-08-22,Emergency,Emergency_2024-08-22,60,46,0.767
2024-08-23,Emergency,Emergency_2024-08-23,60,43,0.717
2024-08-24,Emergency,Emergency_2024-08-24,60,48,0.8
2024-08-25,Emergency,Emergency_2024-08-25,60,44,0.733
2024-08-26,Emergency,Emergency_2024-08-26,60,46,0.767
2024-08-27,Emergency,Emergency_2024-08-27,60,45,0.75
2024-08-28,Emergency,Emergency_2024-08-28,60,47,0.783
2024-08-29,Emergency,Emergency_2024-08-29,60,55,0.917
2024-08-30,Emergency,Emergency_2024-08-30,60,52,0.867
2024-08-31,Emergency,Emergency_2024-08-31,60,46,0.767
2024-09-01,Emergency,Emergency_2024-09-01,60,47,0.783
2024-09-02,Emergency,Emergency_2024-09-02,60,43,0.717
2024-09-03,Emergency,Emergency_2024-09-03,60,47,0.783
2024-09-04,Emergency,Emergency_2024-09-04,60,44,0.733
2024-09-05,Emergency,Emergency_2024-09-05,60,45,0.75
2024-09-06,Emergency,Emergency_2024-09-06,60,50,0.833
2024-09-07,Emergency,Emergency_2024-09-07,60,48,0.8
2024-09-08,Emergency,Emergency_2024-09-08,60,47,0.783
2024-09-09,Emergency,Emergency_2024-09-09,60,45,0.75
2024-09-10,Emergency,Emergency_2024-09-10,60,48,0.8
2024-09-11,Emergency,Emergency_2024-09-11,60,46,0.767
2024-09-12,Emergency,Emergency_2024-09-12,60,51,0.85
2024-09-13,Emergency,Emergency_2024-09-13,60,50,0.833
2024-09-14,Emergency,Emergency_2024-09-14,60,56,0.933
2024-09-15,Emergency,Emergency_2024-09-15,60,40,0.667
2024-09-16,Emergency,Emergency_2024-09-16,60,43,0.717
2024-09-17,Emergency,Emergency_2024-09-17,60,44,0.733
2024-09-18,Emergency,Emergency_2024-09-18,60,47,0.783
2024-09-19,Emergency,Emergency_2024-09-19,60,47,0.783
2024-09-20,Emergency,Emergency_2024-09-20,60,47,0.783
2024-09-21,Emergency,Emergency_2024-09-21,60,43,0.717
2024-09-22,Emergency,Emergency_2024-09-22,60,47,0.783
2024-09-23,Emergency,Emergency_2024-09-23,60,50,0.833
2024-09-24,Emergency,Emergency_2024-09-24,60,48,0.8
2024-09-25,Emergency,Emergency_2024-09-25,60,46,0.767
2024-09-26,Emergency,Emergency_2024-09-26,60,46,0.767
2024-09-27,Emergency,Emergency_2024-09-27,60,50,0.833
2024-09-28,Emergency,Emergency_2024-09-28,60,46,0.767
2024-09-29,Emergency,Emergency_2024-09-29,60,45,0.75
2024-09-30,Emergency,Emergency_2024-09-30,60,46,0.767
2024-10-01,Emergency,Emergency_2024-10-01,60,49,0.817
2024-10-02,Emergency,Emergency_2024-10-02,60,46,0.767
2024-10-03,Emergency,Emergency_2024-10-03,60,48,0.8
2024-10-04,Emergency,Emergency_2024-10-04,60,43,0.717
2024-10-05,Emergency,Emergency_2024-10-05,60,50,0.833
2024-10-06,Emergency,Emergency_2024-10-06,60,46,0.767
2024-10-07,Emergency,Emergency_2024-10-07,60,50,0.833
2024-10-08,Emergency,Emergency_2024-10-08,60,52,0.867
2024-10-09,Emergency,Emergency_2024-10-09,60,49,0.817
2024-10-10,Emergency,Emergency_2024-10-10,60,48,0.8
2024-10-11,Emergency,Emergency_2024-10-11,60,49,0.817
2024-10-12,Emergency,Emergency_2024-10-12,60,53,0.883
2024-10-13,Emergency,Emergency_2024-10-13,60,50,0.833
2024-10-14,Emergency,Emergency_2024-10-14,60,43,0.717
2024-10-15,Emergency,Emergency_2024-10-15,60,52,0.867
2024-10-16,Emergency,Emergency_2024-10-16,60,51,0.85
2024-10-17,Emergency,Emergency_2024-10-17,60,48,0.8
2024-10-18,Emergency,Emergency_2024-10-18,60,47,0.783
2024-10-19,Emergency,Emergency_2024-10-19,60,44,0.733
2024-10-20,Emergency,Emergency_2024-10-20,60,46,0.767
2024-10-21,Emergency,Emergency_2024-10-21,60,44,0.733
2024-10-22,Emergency,Emergency_2024-10-22,60,50,0.833
2024-10-23,Emergency,Emergency_2024-10-23,60,44,0.733
2024-10-24,Emergency,Emergency_2024-10-24,60,52,0.867
2024-10-25,Emergency,Emergency_2024-10-25,60,50,0.833
2024-10-26,Emergency,Emergency_2024-10-26,60,48,0.8
2024-10-27,Emergency,Emergency_2024-10-27,60,47,0.783
2024-10-28,Emergency,Emergency_2024-10-28,60,45,0.75
2024-10-29,Emergency,Emergency_2024-10-29,60,46,0.767
2024-10-30,Emergency,Emergency_2024-10-30,60,50,0.833
2024-10-31,Emergency,Emergency_2024-10-31,60,47,0.783
2024-11-01,Emergency,Emergency_2024-11-01,60,45,0.75
2024-11-02,Emergency,Emergency_2024-11-02,60,47,0.783
2024-11-03,Emergency,Emergency_2024-11-03,60,45,0.75
2024-11-04,Emergency,Emergency_2024-11-04,60,47,0.783
2024-11-05,Emergency,Emergency_2024-11-05,60,55,0.917
2024-11-06,Emergency,Emergency_2024-11-06,60,49,0.817
2024-11-07,Emergency,Emergency_2024-11-07,60,50,0.833
2024-11-08,Emergency,Emergency_2024-11-08,60,47,0.783
2024-11-09,Emergency,Emergency_2024-11-09,60,50,0.833
2024-11-10,Emergency,Emergency_2024-11-10,60,46,0.767
2024-11-11,Emergency,Emergency_2024-11-11,60,49,0.817
2024-11-12,Emergency,Emergency_2024-11-12,60,47,0.783
2024-11-13,Emergency,Emergency_2024-11-13,60,44,0.733
2024-11-14,Emergency,Emergency_2024-11-14,60,44,0.733
2024-11-15,Emergency,Emergency_2024-11-15,60,52,0.867
2024-11-16,Emergency,Emergency_2024-11-16,60,43,0.717
2024-11-17,Emergency,Emergency_2024-11-17,60,45,0.75
2024-11-18,Emergency,Emergency_2024-11-18,60,51,0.85
2024-11-19,Emergency,Emergency_2024-11-19,60,45,0.75
2024-11-20,Emergency,Emergency_2024-11-20,60,51,0.85
2024-11-21,Emergency,Emergency_2024-11-21,60,50,0.833
2024-11-22,Emergency,Emergency_2024-11-22,60,46,0.767
2024-11-23,Emergency,Emergency_2024-11-23,60,48,0.8
2024-11-24,Emergency,Emergency_2024-11-24,60,48,0.8
2024-11-25,Emergency,Emergency_2024-11-25,60,51,0.85
2024-11-26,Emergency,Emergency_2024-11-26,60,46,0.767
2024-11-27,Emergency,Emergency_2024-11-27,60,51,0.85
2024-11-28,Emergency,Emergency_2024-11-28,60,48,0.8
2024-11-29,Emergency,Emergency_2024-11-29,60,48,0.8
2024-11-30,Emergency,Emergency_2024-11-30,60,46,0.767
2024-12-01,Emergency,Emergency_2024-12-01,60,46,0.767
2024-12-02,Emergency,Emergency_2024-12-02,60,46,0.767
2024-12-03,Emergency,Emergency_2024-12-03,60,41,0.683
2024-12-04,Emergency,Emergency_2024-12-04,60,47,0.783
2024-12-05,Emergency,Emergency_2024-12-05,60,46,0.767
2024-12-06,Emergency,Emergency_2024-12-06,60,46,0.767
2024-12-07,Emergency,Emergency_2024-12-07,60,40,0.667
2024-12-08,Emergency,Emergency_2024-12-08,60,48,0.8
2024-12-09,Emergency,Emergency_2024-12-09,60,46,0.767
2024-12-10,Emergency,Emergency_2024-12-10,60,47,0.783
2024-12-11,Emergency,Emergency_2024-12-11,60,46,0.767
2024-12-12,Emergency,Emergency_2024-12-12,60,41,0.683
2024-12-13,Emergency,Emergency_2024-12-13,60,46,0.767
2024-12-14,Emergency,Emergency_2024-12-14,60,49,0.817
2024-12-15,Emergency,Emergency_2024-12-15,60,45,0.75
2024-12-16,Emergency,Emergency_2024-12-16,60,48,0.8
2024-12-17,Emergency,Emergency_2024-12-17,60,48,0.8
2024-12-18,Emergency,Emergency_2024-12-18,60,51,0.85
2024-12-19,Emergency,Emergency_2024-12-19,60,50,0.833
2024-12-20,Emergency,Emergency_2024-12-20,60,48,0.8
2024-12-21,Emergency,Emergency_2024-12-21,60,43,0.717
2024-12-22,Emergency,Emergency_2024-12-22,60,52,0.867
2024-12-23,Emergency,Emergency_2024-12-23,60,40,0.667
2024-12-24,Emergency,Emergency_2024-12-24,60,44,0.733
2024-12-25,Emergency,Emergency_2024-12-25,60,48,0.8
2024-12-26,Emergency,Emergency_2024-12-26,60,52,0.867
2024-12-27,Emergency,Emergency_2024-12-27,60,46,0.767
2024-12-28,Emergency,Emergency_2024-12-28,60,47,0.783
2024-12-29,Emergency,Emergency_2024-12-29,60,47,0.783
2024-12-30,Emergency,Emergency_2024-12-30,60,45,0.75
2024-12-31,Emergency,Emergency_2024-12-31,60,47,0.783
2025-01-01,Emergency,Emergency_2025-01-01,60,40,0.667
2025-01-02,Emergency,Emergency_2025-01-02,60,52,0.867
2025-01-03,Emergency,Emergency_2025-01-03,60,50,0.833
2025-01-04,Emergency,Emergency_2025-01-04,60,48,0.8
2025-01-05,Emergency,Emergency_2025-01-05,60,49,0.817
2025-01-06,Emergency,Emergency_2025-01-06,60,49,0.817
2025-01-07,Emergency,Emergency_2025-01-07,60,50,0.833
2025-01-08,Emergency,Emergency_2025-01-08,60,51,0.85
2025-01-09,Emergency,Emergency_2025-01-09,60,49,0.817
2025-01-10,Emergency,Emergency_2025-01-10,60,47,0.783
2025-01-11,Emergency,Emergency_2025-01-11,60,44,0.733
2025-01-12,Emergency,Emergency_2025-01-12,60,47,0.783
2025-01-13,Emergency,Emergency_2025-01-13,60,47,0.783
2025-01-14,Emergency,Emergency_2025-01-14,60,47,0.783
2025-01-15,Emergency,Emergency_2025-01-15,60,48,0.8
2025-01-16,Emergency,Emergency_2025-01-16,60,49,0.817
2025-01-17,Emergency,Emergency_2025-01-17,60,46,0.767
2025-01-18,Emergency,Emergency_2025-01-18,60,48,0.8
2025-01-19,Emergency,Emergency_2025-01-19,60,50,0.833
2025-01-20,Emergency,Emergency_2025-01-20,60,44,0.733
2025-01-21,Emergency,Emergency_2025-01-21,60,48,0.8
2025-01-22,Emergency,Emergency_2025-01-22,60,48,0.8
2025-01-23,Emergency,Emergency_2025-01-23,60,45,0.75
2025-01-24,Emergency,Emergency_2025-01-24,60,50,0.833
2025-01-25,Emergency,Emergency_2025-01-25,60,42,0.7
2025-01-26,Emergency,Emergency_2025-01-26,60,50,0.833
2025-01-27,Emergency,Emergency_2025-01-27,60,45,0.75
2025-01-28,Emergency,Emergency_2025-01-28,60,47,0.783
2025-01-29,Emergency,Emergency_2025-01-29,60,48,0.8
2025-01-30,Emergency,Emergency_2025-01-30,60,48,0.8
2025-01-31,Emergency,Emergency_2025-01-31,60,46,0.767
2025-02-01,Emergency,Emergency_2025-02-01,60,44,0.733
2025-02-02,Emergency,Emergency_2025-02-02,60,48,0.8
2025-02-03,Emergency,Emergency_2025-02-03,60,45,0.75
2025-02-04,Emergency,Emergency_2025-02-04,60,44,0.733
2025-02-05,Emergency,Emergency_2025-02-05,60,50,0.833
2025-02-06,Emergency,Emergency_2025-02-06,60,54,0.9
2025-02-07,Emergency,Emergency_2025-02-07,60,44,0.733
2025-02-08,Emergency,Emergency_2025-02-08,60,49,0.817
2025-02-09,Emergency,Emergency_2025-02-09,60,46,0.767
2025-02-10,Emergency,Emergency_2025-02-10,60,49,0.817
2025-02-11,Emergency,Emergency_2025-02-11,60,40,0.667
2025-02-12,Emergency,Emergency_2025-02-12,60,48,0.8
2025-02-13,Emergency,Emergency_2025-02-13,60,51,0.85
2025-02-14,Emergency,Emergency_2025-02-14,60,51,0.85
2025-02-15,Emergency,Emergency_2025-02-15,60,46,0.767
2025-02-16,Emergency,Emergency_2025-02-16,60,44,0.733
2025-02-17,Emergency,Emergency_2025-02-17,60,46,0.767
2025-02-18,Emergency,Emergency_2025-02-18,60,43,0.717
2025-02-19,Emergency,Emergency_2025-02-19,60,49,0.817
2025-02-20,Emergency,Emergency_2025-02-20,60,41,0.683
2025-02-21,Emergency,Emergency_2025-02-21,60,50,0.833
2025-02-22,Emergency,Emergency_2025-02-22,60,45,0.75
2025-02-23,Emergency,Emergency_2025-02-23,60,50,0.833
2025-02-24,Emergency,Emergency_2025-02-24,60,50,0.833
2025-02-25,Emergency,Emergency_2025-02-25,60,47,0.783
2025-02-26,Emergency,Emergency_2025-02-26,60,48,0.8
2025-02-27,Emergency,Emergency_2025-02-27,60,51,0.85
2025-02-28,Emergency,Emergency_2025-02-28,60,42,0.7
2025-03-01,Emergency,Emergency_2025-03-01,60,46,0.767
2025-03-02,Emergency,Emergency_2025-03-02,60,49,0.817
2025-03-03,Emergency,Emergency_2025-03-03,60,47,0.783
2025-03-04,Emergency,Emergency_2025-03-04,60,44,0.733
2025-03-05,Emergency,Emergency_2025-03-05,60,44,0.733
2025-03-06,Emergency,Emergency_2025-03-06,60,42,0.7
2025-03-07,Emergency,Emergency_2025-03-07,60,47,0.783
2025-03-08,Emergency,Emergency_2025-03-08,60,51,0.85
2025-03-09,Emergency,Emergency_2025-03-09,60,42,0.7
