Date,Department,Dept_Date_Key,Nurses_On_Shift,Patients_Assigned,Patient_To_Nurse_Ratio
2024-11-08,Emergency,Emergency_2024-11-08,12,47,3.92
2024-11-09,Emergency,Emergency_2024-11-09,12,50,4.17
2024-11-10,Emergency,Emergency_2024-11-10,12,46,3.83
2024-11-11,Emergency,Emergency_2024-11-11,12,49,4.08
2024-11-12,Emergency,Emergency_2024-11-12,12,47,3.92
2024-11-13,Emergency,Emergency_2024-11-13,11,44,4.0
2024-11-14,Emergency,Emergency_2024-11-14,11,44,4.0
2024-11-15,Emergency,Emergency_2024-11-15,13,52,4.0
2024-11-16,Emergency,Emergency_2024-11-16,11,43,3.91
2024-11-17,Emergency,Emergency_2024-11-17,11,45,4.09
2024-11-18,Emergency,Emergency_2024-11-18,13,51,3.92
2024-11-19,Emergency,Emergency_2024-11-19,11,45,4.09
2024-11-20,Emergency,Emergency_2024-11-20,13,51,3.92
2024-11-21,Emergency,Emergency_2024-11-21,12,50,4.17
2024-11-22,Emergency,Emergency_2024-11-22,12,46,3.83
2024-11-23,Emergency,Emergency_2024-11-23,12,48,4.0
2024-11-24,Emergency,Emergency_2024-11-24,12,48,4.0
2024-11-25,Emergency,Emergency_2024-11-25,13,51,3.92
2024-11-26,Emergency,Emergency_2024-11-26,12,46,3.83
2024-11-27,Emergency,Emergency_2024-11-27,13,51,3.92
2024-11-28,Emergency,Emergency_2024-11-28,12,48,4.0
2024-11-29,Emergency,Emergency_2024-11-29,12,48,4.0
2024-11-30,Emergency,Emergency_2024-11-30,12,46,3.83
2024-12-01,Emergency,Emergency_2024-12-01,12,46,3.83
2024-12-02,Emergency,Emergency_2024-12-02,12,46,3.83
2024-12-03,Emergency,Emergency_2024-12-03,10,41,4.1
2024-12-04,Emergency,Emergency_2024-12-04,12,47,3.92
2024-12-05,Emergency,Emergency_2024-12-05,12,46,3.83
2024-12-06,Emergency,Emergency_2024-12-06,12,46,3.83
2024-12-07,Emergency,Emergency_2024-12-07,10,40,4.0
2024-12-08,Emergency,Emergency_2024-12-08,12,48,4.0
2024-12-09,Emergency,Emergency_2024-12-09,12,46,3.83
2024-12-10,Emergency,Emergency_2024-12-10,12,47,3.92
2024-12-11,Emergency,Emergency_2024-12-11,12,46,3.83
2024-12-12,Emergency,Emergency_2024-12-12,10,41,4.1
2024-12-13,Emergency,Emergency_2024-12-13,12,46,3.83
2024-12-14,Emergency,Emergency_2024-12-14,12,49,4.08
2024-12-15,Emergency,Emergency_2024-12-15,11,45,4.09
2024-12-16,Emergency,Emergency_2024-12-16,12,48,4.0
2024-12-17,Emergency,Emergency_2024-12-17,12,48,4.0
2024-12-18,Emergency,Emergency_2024-12-18,13,51,3.92
2024-12-19,Emergency,Emergency_2024-12-19,12,50,4.17
2024-12-20,Emergency,Emergency_2024-12-20,12,48,4.0
2024-12-21,Emergency,Emergency_2024-12-21,11,43,3.91
2024-12-22,Emergency,Emergency_2024-12-22,13,52,4.0
2024-12-23,Emergency,Emergency_2024-12-23,10,40,4.0
2024-12-24,Emergency,Emergency_2024-12-24,11,44,4.0
2024-12-25,Emergency,Emergency_2024-12-25,12,48,4.0
2024-12-26,Emergency,Emergency_2024-12-26,13,52,4.0
2024-12-27,Emergency,Emergency_2024-12-27,12,46,3.83
2024-12-28,Emergency,Emergency_2024-12-28,12,47,3.92
2024-12-29,Emergency,Emergency_2024-12-29,12,47,3.92
2024-12-30,Emergency,Emergency_2024-12-30,11,45,4.09
2024-12-31,Emergency,Emergency_2024-12-31,12,47,3.92
2025-01-01,Emergency,Emergency_2025-01-01,10,40,4.0
2025-01-02,Emergency,Emergency_2025-01-02,13,52,4.0
2025-01-03,Emergency,Emergency_2025-01-03,12,50,4.17
2025-01-04,Emergency,Emergency_2025-01-04,12,48,4.0
2025-01-05,Emergency,Emergency_2025-01-05,12,49,4.08
2025-01-06,Emergency,Emergency_2025-01-06,12,49,4.08
2025-01-07,Emergency,Emergency_2025-01-07,12,50,4.17
2025-01-08,Emergency,Emergency_2025-01-08,13,51,3.92
2025-01-09,Emergency,Emergency_2025-01-09,12,49,4.08
2025-01-10,Emergency,Emergency_2025-01-10,12,47,3.92
2025-01-11,Emergency,Emergency_2025-01-11,11,44,4.0
2025-01-12,Emergency,Emergency_2025-01-12,12,47,3.92
2025-01-13,Emergency,Emergency_2025-01-13,12,47,3.92
2025-01-14,Emergency,Emergency_2025-01-14,12,47,3.92
2025-01-15,Emergency,Emergency_2025-01-15,12,48,4.0
2025-01-16,Emergency,Emergency_2025-01-16,12,49,4.08
2025-01-17,Emergency,Emergency_2025-01-17,12,46,3.83
2025-01-18,Emergency,Emergency_2025-01-18,12,48,4.0
2025-01-19,Emergency,Emergency_2025-01-19,12,50,4.17
2025-01-20,Emergency,Emergency_2025-01-20,11,44,4.0
2025-01-21,Emergency,Emergency_2025-01-21,12,48,4.0
2025-01-22,Emergency,Emergency_2025-01-22,12,48,4.0
2025-01-23,Emergency,Emergency_2025-01-23,11,45,4.09
2025-01-24,Emergency,Emergency_2025-01-24,12,50,4.17
2025-01-25,Emergency,Emergency_2025-01-25,10,42,4.2
2025-01-26,Emergency,Emergency_2025-01-26,12,50,4.17
2025-01-27,Emergency,Emergency_2025-01-27,11,45,4.09
2025-01-28,Emergency,Emergency_2025-01-28,12,47,3.92
2025-01-29,Emergency,Emergency_2025-01-29,12,48,4.0
2025-01-30,Emergency,Emergency_2025-01-30,12,48,4.0
2025-01-31,Emergency,Emergency_2025-01-31,12,46,3.83
2025-02-01,Emergency,Emergency_2025-02-01,11,44,4.0
2025-02-02,Emergency,Emergency_2025-02-02,12,48,4.0
2025-02-03,Emergency,Emergency_2025-02-03,11,45,4.09
2025-02-04,Emergency,Emergency_2025-02-04,11,44,4.0
2025-02-05,Emergency,Emergency_2025-02-05,12,50,4.17
2025-02-06,Emergency,Emergency_2025-02-06,14,54,3.86
2025-02-07,Emergency,Emergency_2025-02-07,11,44,4.0
2025-02-08,Emergency,Emergency_2025-02-08,12,49,4.08
2025-02-09,Emergency,Emergency_2025-02-09,12,46,3.83
2025-02-10,Emergency,Emergency_2025-02-10,12,49,4.08
2025-02-11,Emergency,Emergency_2025-02-11,10,40,4.0
2025-02-12,Emergency,Emergency_2025-02-12,12,48,4.0
2025-02-13,Emergency,Emergency_2025-02-13,13,51,3.92
2025-02-14,Emergency,Emergency_2025-02-14,13,51,3.92
2025-02-15,Emergency,Emergency_2025-02-15,12,46,3.83
2025-02-16,Emergency,Emergency_2025-02-16,11,44,4.0
2025-02-17,Emergency,Emergency_2025-02-17,12,46,3.83
2025-02-18,Emergency,Emergency_2025-02-18,11,43,3.91
2025-02-19,Emergency,Emergency_2025-02-19,12,49,4.08
2025-02-20,Emergency,Emergency_2025-02-20,10,41,4.1
2025-02-21,Emergency,Emergency_2025-02-21,12,50,4.17
2025-02-22,Emergency,Emergency_2025-02-22,11,45,4.09
2025-02-23,Emergency,Emergency_2025-02-23,12,50,4.17
2025-02-24,Emergency,Emergency_2025-02-24,12,50,4.17
2025-02-25,Emergency,Emergency_2025-02-25,12,47,3.92
2025-02-26,Emergency,Emergency_2025-02-26,12,48,4.0
2025-02-27,Emergency,Emergency_2025-02-27,13,51,3.92
2025-02-28,Emergency,Emergency_2025-02-28,10,42,4.2
2025-03-01,Emergency,Emergency_2025-03-01,12,46,3.83
2025-03-02,Emergency,Emergency_2025-03-02,12,49,4.08
2025-03-03,Emergency,Emergency_2025-03-03,12,47,3.92
2025-03-04,Emergency,Emergency_2025-03-04,11,44,4.0
2025-03-05,Emergency,Emergency_2025-03-05,11,44,4.0
2025-03-06,Emergency,Emergency_2025-03-06,10,42,4.2
2025-03-07,Emergency,Emergency_2025-03-07,12,47,3.92
2025-03-08,Emergency,Emergency_2025-03-08,13,51,3.92
2025-03-09,Emergency,Emergency_2025-03-09,10,42,4.2
